,addr,type,token_vol_sum,token_vol_count,block_time,BSC,Gnosis,Optimism,Arbitrum
0,0x0144347d538f485d6235cb55c8cd13b0031654ea,ether,0.00489,4,"['2022-08-05T00:27:29Z', '2022-08-05T03:52:08Z', '2022-08-06T09:38:07Z', '2022-08-28T17:34:53Z']",0,0,0,0
1,0x026a5311f67b988808e94083bb14138daa012b6f,ether,0.00635,4,"['2022-08-05T00:56:51Z', '2022-08-05T06:35:34Z', '2022-08-06T10:02:57Z', '2022-08-28T17:34:53Z']",0,0,0,0
2,0x0341bd434f39abab044adfc5f89634e818e1c977,ether,0.0045,4,"['2022-08-05T00:51:20Z', '2022-08-05T06:46:37Z', '2022-08-06T09:55:49Z', '2022-08-28T17:34:53Z']",0,0,0,0
3,0x03efc1ebb6b3ebd280addfea0c7778bf203c188c,ether,0.00509,4,"['2022-08-05T00:51:56Z', '2022-08-05T06:44:15Z', '2022-08-06T09:56:41Z', '2022-08-28T17:34:53Z']",0,0,0,0
4,0x0466331050f1c42d6a60f581f45655d034aea9b5,ether,0.00466,4,"['2022-08-05T00:34:24Z', '2022-08-05T06:22:43Z', '2022-08-06T09:38:45Z', '2022-08-28T17:34:53Z']",0,0,0,0
5,0x04b3d94dc72e01ff320e601523ddcbf6cd6915ab,ether,0.00558,4,"['2022-08-05T00:49:11Z', '2022-08-05T06:48:19Z', '2022-08-06T09:53:50Z', '2022-08-28T17:34:53Z']",0,0,0,0
6,0x06a5308356571070ecea24a990091b1caba3268d,ether,0.00533,4,"['2022-08-05T00:54:50Z', '2022-08-05T06:46:37Z', '2022-08-06T10:04:43Z', '2022-08-28T21:15:30Z']",0,0,0,0
7,0x06c2bc54de2b92e1f533aa189edb9f7ed805d05b,ether,0.00539,4,"['2022-08-05T00:53:01Z', '2022-08-05T06:46:37Z', '2022-08-06T09:58:41Z', '2022-08-28T17:34:53Z']",0,0,0,0
8,0x0c542b53ecff2f2ed391db0626e84c7479225ab4,ether,0.00601,4,"['2022-08-05T00:39:21Z', '2022-08-05T06:44:15Z', '2022-08-06T09:45:13Z', '2022-08-28T17:34:54Z']",0,0,0,0
9,0x0dcd5b0a5d15dda25857339b612ad836a2886bc5,ether,0.00545,4,"['2022-08-05T00:37:51Z', '2022-08-05T06:22:43Z', '2022-08-06T09:44:32Z', '2022-08-29T01:59:52Z']",0,0,0,0
