,addr,type,total_volumn,ETH,froms,block_time,BSC,Gnosis,Optimism,Arbitrum
70,0x1d7e358690dfa1f967b9da999e1f64eb8620b1db,ether,1.21e-05,24,2,"['2022-06-21T07:08:20Z', '2022-06-21T07:08:38Z', '2022-06-21T07:09:07Z', '2022-06-21T07:09:44Z', '2022-06-21T07:09:47Z', '2022-06-21T07:11:11Z', '2022-06-21T07:11:42Z', '2022-06-21T07:11:44Z', '2022-06-21T07:12:14Z', '2022-06-21T07:12:29Z', '2022-06-21T07:14:00Z', '2022-07-02T06:58:32Z', '2022-07-02T07:37:48Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-03T04:13:33Z', '2022-07-03T07:35:57Z', '2022-07-03T08:41:33Z', '2022-07-03T10:55:19Z']",0,0,0,0
305,0x7c5d2e25eecc66d9972eb1ad78cba235b30f9a29,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
315,0x7ea9bcb48f9758039ad70adc951e6f7f29a521f4,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
148,0x412d545f644ef4d6bfe5a6bf07b8047f446f1df0,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:12:05Z', '2022-07-02T09:19:48Z', '2022-07-02T09:19:48Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
128,0x3749637d90fdb98884efc9ca39f0a0f56a9be0e5,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:05Z', '2022-07-02T09:12:06Z', '2022-07-02T09:19:48Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
322,0x80c35dfab0af8b225bba192e01b9d04844cfe17a,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:19:48Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
295,0x7ac4c7d9915d8697ddddede5725d90afa0c04bb7,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:13Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
597,0xe7637383191d93333aa6067623b19406876f103c,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
321,0x809ac13d8bd6a3d4473c6d89d5032c7da4bf404f,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
423,0xa4cc6106f1b8d9220b1fd07f82243c34a7aea087,ether,2.2e-06,24,2,"['2022-07-02T06:17:40Z', '2022-07-02T06:17:40Z', '2022-07-02T06:58:32Z', '2022-07-02T06:58:32Z', '2022-07-02T07:53:15Z', '2022-07-02T07:53:15Z', '2022-07-02T07:59:07Z', '2022-07-02T07:59:07Z', '2022-07-02T09:03:14Z', '2022-07-02T09:03:14Z', '2022-07-02T09:08:59Z', '2022-07-02T09:08:59Z', '2022-07-02T09:12:06Z', '2022-07-02T09:12:06Z', '2022-07-02T09:20:43Z', '2022-07-02T09:20:43Z', '2022-07-02T09:23:28Z', '2022-07-02T09:23:28Z', '2022-07-02T09:32:13Z', '2022-07-02T09:32:46Z', '2022-07-02T09:36:13Z', '2022-07-02T09:36:13Z', '2022-07-02T10:19:30Z', '2022-07-02T10:19:30Z']",0,0,0,0
